Date,Price,Open,High,Low,Change %
11/28/17,0.2795,0.2478,0.2816,0.2478,12.79
11/27/17,0.2478,0.2449,0.2532,0.24,1.18
11/26/17,0.2449,0.2533,0.2533,0.241,-3.32
11/25/17,0.2533,0.245,0.2562,0.242,3.39
11/24/17,0.245,0.2409,0.2476,0.2348,1.7
11/23/17,0.2409,0.24,0.2545,0.2351,0.38
11/22/17,0.24,0.2329,0.2424,0.23,3.05
11/21/17,0.2329,0.24,0.2456,0.2287,-2.96
11/20/17,0.24,0.2325,0.247,0.2317,3.23
11/19/17,0.2325,0.227,0.2375,0.22,2.42
11/18/17,0.227,0.2245,0.2295,0.2186,1.11
11/17/17,0.2245,0.2273,0.2408,0.217,-1.23
11/16/17,0.2273,0.2087,0.2832,0.2055,8.91
11/15/17,0.2087,0.2041,0.21,0.203,2.25
11/14/17,0.2041,0.2,0.21,0.1965,2.05
11/13/17,0.2,0.1932,0.2,0.19,3.52
11/12/17,0.1932,0.2092,0.2092,0.175,-7.65
11/11/17,0.2092,0.203,0.2147,0.2,3.05
11/10/17,0.203,0.2124,0.2185,0.198,-4.43
11/9/17,0.2124,0.2161,0.223,0.2121,-1.71
11/8/17,0.2161,0.2057,0.225,0.203,5.06
11/7/17,0.2057,0.2011,0.2061,0.1992,2.29
11/6/17,0.2011,0.1995,0.2069,0.1981,0.8
11/5/17,0.1995,0.2018,0.204,0.1975,-1.14
11/4/17,0.2018,0.205,0.2056,0.1991,-1.56
11/3/17,0.205,0.2,0.2295,0.1956,2.5
11/2/17,0.2,0.1911,0.207,0.175,4.66
11/1/17,0.1911,0.198,0.201,0.1894,-3.48
10/31/17,0.198,0.202,0.204,0.1971,-1.98
10/30/17,0.202,0.2012,0.2042,0.2,0.4
10/29/17,0.2012,0.1979,0.2045,0.196,1.67
10/28/17,0.1979,0.1995,0.201,0.1971,-0.8
10/27/17,0.1995,0.202,0.2032,0.1975,-1.24
10/26/17,0.202,0.2014,0.2051,0.1995,0.3
10/25/17,0.2014,0.2032,0.2056,0.196,-0.89
10/24/17,0.2032,0.1917,0.2168,0.183,6
10/23/17,0.1917,0.2003,0.2017,0.185,-4.29
10/22/17,0.2003,0.2099,0.212,0.195,-4.57
10/21/17,0.2099,0.2088,0.2106,0.1967,0.53
10/20/17,0.2088,0.2143,0.224,0.2052,-2.57
10/19/17,0.2143,0.2167,0.2329,0.206,-1.11
10/18/17,0.2167,0.2298,0.2349,0.2025,-5.7
10/17/17,0.2298,0.2578,0.2665,0.2188,-10.86
10/16/17,0.2578,0.266,0.3,0.2523,-3.08
10/15/17,0.266,0.2556,0.27,0.249,4.07
10/14/17,0.2556,0.2603,0.2688,0.2544,-1.81
10/13/17,0.2603,0.2455,0.27,0.2325,6.03
10/12/17,0.2455,0.2623,0.265,0.2455,-6.4
10/11/17,0.2623,0.2583,0.2658,0.256,1.55
10/10/17,0.2583,0.2505,0.2669,0.2405,3.11
10/9/17,0.2505,0.281,0.281,0.233,-10.85
10/8/17,0.281,0.2405,0.2813,0.2389,16.84
10/7/17,0.2405,0.2331,0.2417,0.2325,3.17
10/6/17,0.2331,0.2371,0.2446,0.232,-1.69
10/5/17,0.2371,0.2148,0.2445,0.2133,10.38
10/4/17,0.2148,0.203,0.2173,0.2011,5.81
10/3/17,0.203,0.2033,0.2062,0.1975,-0.15
10/2/17,0.2033,0.2089,0.2099,0.2,-2.68
10/1/17,0.2089,0.199,0.2089,0.1964,4.97
9/30/17,0.199,0.197,0.2065,0.195,1.02
9/29/17,0.197,0.2022,0.2022,0.1879,-2.57
9/28/17,0.2022,0.2101,0.2109,0.1965,-3.76
9/27/17,0.2101,0.1889,0.2156,0.1877,11.22
9/26/17,0.1889,0.1838,0.1943,0.181,2.77
9/25/17,0.1838,0.1749,0.1869,0.1745,5.09
9/24/17,0.1749,0.1793,0.18,0.1726,-2.45
9/23/17,0.1793,0.1729,0.1804,0.1699,3.7
9/22/17,0.1729,0.171,0.1771,0.166,1.11
9/21/17,0.171,0.1816,0.1835,0.1686,-5.84
9/20/17,0.1816,0.1846,0.1884,0.1805,-1.63
9/19/17,0.1846,0.1932,0.1943,0.182,-4.45
9/18/17,0.1932,0.1812,0.1943,0.1808,6.62
9/17/17,0.1812,0.182,0.184,0.1711,-0.44
9/16/17,0.182,0.1842,0.1919,0.1729,-1.19
9/15/17,0.1842,0.1708,0.1924,0.1455,7.85
9/14/17,0.1708,0.198,0.2,0.166,-13.74
9/13/17,0.198,0.2094,0.2099,0.1902,-5.44
9/12/17,0.2094,0.2139,0.2245,0.2052,-2.1
9/11/17,0.2139,0.2162,0.2215,0.2086,-1.06
9/10/17,0.2162,0.2124,0.224,0.1975,1.79
9/9/17,0.2124,0.2117,0.2144,0.2067,0.33
9/8/17,0.2117,0.2265,0.229,0.1965,-6.53
9/7/17,0.2265,0.231,0.2317,0.2197,-1.95
9/6/17,0.231,0.215,0.2328,0.2139,7.44
9/5/17,0.215,0.2025,0.22,0.1881,6.17
9/4/17,0.2025,0.23,0.2304,0.185,-11.96
9/3/17,0.23,0.2235,0.2382,0.215,2.91
9/2/17,0.2235,0.2537,0.2538,0.2135,-11.9
9/1/17,0.2537,0.2588,0.26,0.2434,-1.97
8/31/17,0.2588,0.2316,0.265,0.2272,11.74
8/30/17,0.2316,0.2195,0.2331,0.2167,5.51
8/29/17,0.2195,0.2253,0.226,0.212,-2.57
8/28/17,0.2253,0.2016,0.2461,0.1941,11.76
8/27/17,0.2016,0.2095,0.2103,0.1925,-3.77
8/26/17,0.2095,0.2159,0.231,0.206,-2.96
8/25/17,0.2159,0.2171,0.231,0.2027,-0.55
8/24/17,0.2171,0.246,0.2869,0.21,-11.75
8/23/17,0.246,0.242,0.2995,0.2155,1.65
8/22/17,0.242,0.195,0.259,0.1711,24.1
8/21/17,0.195,0.1591,0.2065,0.1511,22.56
8/20/17,0.1591,0.1525,0.1617,0.1493,4.33
8/19/17,0.1525,0.157,0.162,0.148,-2.87
8/18/17,0.157,0.158,0.17,0.151,-0.63
8/17/17,0.158,0.1608,0.161,0.153,-1.74
8/16/17,0.1608,0.158,0.1608,0.1486,1.77
8/15/17,0.158,0.1677,0.1677,0.1521,-5.78
8/14/17,0.1677,0.1661,0.1801,0.165,0.96
8/13/17,0.1661,0.1719,0.1719,0.1585,-3.37
8/12/17,0.1719,0.1775,0.1828,0.1704,-3.15
8/11/17,0.1775,0.1808,0.1834,0.1753,-1.83
8/10/17,0.1808,0.1834,0.185,0.177,-1.42
8/9/17,0.1834,0.1959,0.1959,0.18,-6.38
8/8/17,0.1959,0.179,0.2,0.1768,9.44
8/7/17,0.179,0.1803,0.183,0.1763,-0.72
8/6/17,0.1803,0.184,0.1898,0.1765,-2.01
8/5/17,0.184,0.1736,0.192,0.171,5.99
8/4/17,0.1736,0.1746,0.178,0.171,-0.57
8/3/17,0.1746,0.1704,0.1772,0.1688,2.46
8/2/17,0.1704,0.1786,0.18,0.168,-4.59
8/1/17,0.1786,0.163,0.185,0.1585,9.57
7/31/17,0.163,0.1636,0.1684,0.1578,-0.37
7/30/17,0.1636,0.1706,0.1725,0.1606,-4.1
7/29/17,0.1706,0.1626,0.171,0.1542,4.92
7/28/17,0.1626,0.1726,0.1744,0.1567,-5.79
7/27/17,0.1726,0.1726,0.176,0.1681,0
7/26/17,0.1726,0.1745,0.1799,0.1638,-1.09
7/25/17,0.1745,0.1925,0.1933,0.166,-9.35
7/24/17,0.1925,0.1968,0.2001,0.1898,-2.18
7/23/17,0.1968,0.1979,0.208,0.1861,-0.56
7/22/17,0.1979,0.1836,0.2045,0.181,7.79
