Date,Price,Open,High,Low,Change %
11/13/17,313.22,303.9,318,302.4,3.07
11/12/17,303.9,313.07,316.99,293.33,-2.93
11/11/17,313.07,296.18,319.88,294.7,5.7
11/10/17,296.18,319.52,324.03,286,-7.3
11/9/17,319.52,307.5,328.8,305,3.91
11/8/17,307.5,291.42,318.9,290.11,5.52
11/7/17,291.42,296.9,304.2,285.01,-1.85
11/6/17,296.9,295.63,310,292,0.43
11/5/17,295.63,299.48,301,292.28,-1.29
11/4/17,299.48,303.47,304.38,293,-1.31
11/3/17,303.47,284.89,307.36,284,6.52
11/2/17,284.89,288.6,293.01,275.21,-1.29
11/1/17,288.6,303.69,305.11,287.04,-4.97
10/31/17,303.69,307,312,303.1,-1.08
10/30/17,307,304.39,314.4,303.93,0.86
10/29/17,304.39,293.49,312.49,290.5,3.71
10/28/17,293.49,295.99,297.01,288.6,-0.84
10/27/17,295.99,295.1,299.5,291.6,0.3
10/26/17,295.1,295.46,299,290.55,-0.12
10/25/17,295.46,296.3,300,288.5,-0.28
10/24/17,296.3,284.85,311.85,280.02,4.02
10/23/17,284.85,293.55,293.96,273.5,-2.96
10/22/17,293.55,299.23,305.62,289.4,-1.9
10/21/17,299.23,302.61,303,289.31,-1.12
10/20/17,302.61,306.97,313.01,301.04,-1.42
10/19/17,306.97,313.45,316.5,304,-2.07
10/18/17,313.45,315.65,316.21,287.46,-0.7
10/17/17,315.65,334.46,334.8,308,-5.62
10/16/17,334.46,337.23,355,330.85,-0.82
10/15/17,337.23,339.24,344.89,315,-0.59
10/14/17,339.24,337.46,348,334.05,0.53
10/13/17,337.46,303.06,350,298,11.35
10/12/17,303.06,303.2,310.01,302.1,-0.05
10/11/17,303.2,299.32,306.55,296.6,1.3
10/10/17,299.32,297.4,307,292.57,0.65
10/9/17,297.4,309.82,311.16,287.03,-4.01
10/8/17,309.82,311.46,314.39,307.55,-0.53
10/7/17,311.46,308.43,315,304.5,0.98
10/6/17,308.43,295.12,309.59,293.04,4.51
10/5/17,295.12,291.4,297.92,285.12,1.28
10/4/17,291.4,291.69,296,287.56,-0.1
10/3/17,291.69,296.82,300.5,285.93,-1.73
10/2/17,296.82,304.26,304.63,292.1,-2.45
10/1/17,304.26,303.44,305.57,295,0.27
9/30/17,303.44,292.66,307.76,292.3,3.68
9/29/17,292.66,302.63,303.9,280.5,-3.29
9/28/17,302.63,309.75,310.69,297.75,-2.3
9/27/17,309.75,289.28,315.51,286.93,7.08
9/26/17,289.28,295.2,296.38,285.2,-2.01
9/25/17,295.2,282,297.93,281.8,4.68
9/24/17,282,285.9,294.54,275.41,-1.36
9/23/17,285.9,262.19,287.2,259.01,9.04
9/22/17,262.19,256.67,269.5,253.03,2.15
9/21/17,256.67,283.5,287.53,251.52,-9.46
9/20/17,283.5,282.63,294,277,0.31
9/19/17,282.63,296.81,299,275,-4.78
9/18/17,296.81,257,299.89,257,15.49
9/17/17,257,253,263.69,239,1.58
9/16/17,253,258.68,270,242.2,-2.2
9/15/17,258.68,222.5,269,198,16.26
9/14/17,222.5,275.48,281.01,221.71,-19.23
9/13/17,275.48,293.9,294.16,256,-6.27
9/12/17,293.9,297.19,316.73,283,-1.11
9/11/17,297.19,297.9,308,287.33,-0.24
9/10/17,297.9,303.08,305,276.11,-1.71
9/9/17,303.08,304,307.08,291.46,-0.3
9/8/17,304,334.1,334.58,291,-9.01
9/7/17,334.1,337.36,338.66,321.1,-0.97
9/6/17,337.36,316.18,339.5,314.81,6.7
9/5/17,316.18,295.81,323.17,267.64,6.89
9/4/17,295.81,350.63,351.59,275,-15.63
9/3/17,350.63,345,368.4,328.33,1.63
9/2/17,345,390.35,390.77,325.1,-11.62
9/1/17,390.35,387.3,395.03,383.6,0.79
8/31/17,387.3,382.78,390,380.1,1.18
8/30/17,382.78,372,390.1,365.1,2.9
8/29/17,372,347.09,375.98,346.42,7.18
8/28/17,347.09,348.01,352,332.74,-0.26
8/27/17,348.01,332.72,348.01,331.88,4.6
8/26/17,332.72,328.7,334.6,324.5,1.22
8/25/17,328.7,325.62,338.25,324.04,0.95
8/24/17,325.62,316.5,329.56,314.14,2.88
8/23/17,316.5,312.54,325,311.65,1.27
8/22/17,312.54,322.24,329.96,285.01,-3.01
8/21/17,322.24,298.37,346.99,294.53,8
8/20/17,298.37,292.78,299,286.96,1.91
8/19/17,292.78,292,298.51,280,0.27
8/18/17,292,299,307,286,-2.34
8/17/17,299,301.34,312,297.01,-0.78
8/16/17,301.34,286,304,279.94,5.36
8/15/17,286,298.22,299.91,272.29,-4.1
8/14/17,298.22,296.64,306.48,293.99,0.53
8/13/17,296.64,307.22,308,285.21,-3.44
8/12/17,307.22,308.81,319.78,299,-0.51
8/11/17,308.81,295.97,310.42,294,4.34
8/10/17,295.97,293.99,310.05,287.6,0.67
8/9/17,293.99,295.83,316,277,-0.62
8/8/17,295.83,269.51,299.5,265,9.77
8/7/17,269.51,264.29,274.6,257.32,1.98
8/6/17,264.29,253.87,271.5,251,4.1
8/5/17,253.87,220.73,259.9,219.23,15.01
8/4/17,220.73,224.79,228.3,218.66,-1.81
8/3/17,224.79,218,228.2,217.07,3.11
8/2/17,218,225.97,229.7,215,-3.53
8/1/17,225.97,200.81,232.59,200.8,12.53
7/31/17,200.81,195.31,201.5,188.12,2.82
7/30/17,195.31,206.76,210.76,192.21,-5.54
7/29/17,206.76,191.2,213,176.95,8.14
7/28/17,191.2,202.54,204.19,188.1,-5.6
7/27/17,202.54,203.33,207,197.86,-0.39
7/26/17,203.33,202.7,209.59,191.76,0.31
7/25/17,202.7,226.59,227.69,190.49,-10.54
