Date,Price,Open,High,Low,Change %
12/29/17,14317,14323,15105,13847,0.01
12/30/17,12377,14308,14403,11690,-13.55
12/31/17,13800,12385,14140,12183.88,11.5
1/1/18,13354,13794,13893,12787,-3.23
1/2/18,14709.82,13448,15300,12810,10.15
1/3/18,15155,14713,15428,14522,3.03
1/4/18,15160,15150,15390,14064,0.03
1/5/18,16917,15159,17101,14769,11.59
1/6/18,17161,16911,17252,16251,1.44
1/7/18,16196,17163,17176,15726,-5.62
1/8/18,14930,16216,16279,13760,-7.82
